label,state,estimate,moe,percent,percent moe,year
Civilian employed population 16 years and over,Colorado,2456139.0,6374.0,100.0,,2010
"    Management, business, science, and arts occupations",Colorado,950795.0,7210.0,38.7,0.3,2010
    Service occupations,Colorado,403356.0,5515.0,16.4,0.2,2010
    Sales and office occupations,Colorado,613483.0,5583.0,25.0,0.2,2010
"    Natural resources, construction, and maintenance occupations",Colorado,260747.0,3481.0,10.6,0.1,2010
"    Production, transportation, and material moving occupations",Colorado,227758.0,3289.0,9.3,0.1,2010
Civilian employed population 16 years and over,Connecticut,1765549.0,5408.0,100.0,,2010
"    Management, business, science, and arts occupations",Connecticut,705626.0,6000.0,40.0,0.3,2010
    Service occupations,Connecticut,296576.0,3948.0,16.8,0.2,2010
    Sales and office occupations,Connecticut,442229.0,4515.0,25.0,0.2,2010
"    Natural resources, construction, and maintenance occupations",Connecticut,141758.0,2914.0,8.0,0.2,2010
"    Production, transportation, and material moving occupations",Connecticut,179360.0,2983.0,10.2,0.2,2010
Civilian employed population 16 years and over,Delaware,419062.0,2855.0,100.0,,2010
"    Management, business, science, and arts occupations",Delaware,154416.0,2564.0,36.8,0.5,2010
    Service occupations,Delaware,71321.0,1903.0,17.0,0.4,2010
    Sales and office occupations,Delaware,108933.0,2089.0,26.0,0.5,2010
"    Natural resources, construction, and maintenance occupations",Delaware,40053.0,1464.0,9.6,0.3,2010
"    Production, transportation, and material moving occupations",Delaware,44339.0,1693.0,10.6,0.4,2010
Civilian employed population 16 years and over,District of Columbia,297189.0,2534.0,100.0,,2010
"    Management, business, science, and arts occupations",District of Columbia,171467.0,1834.0,57.7,0.6,2010
    Service occupations,District of Columbia,46967.0,1846.0,15.8,0.6,2010
    Sales and office occupations,District of Columbia,55406.0,1655.0,18.6,0.5,2010
"    Natural resources, construction, and maintenance occupations",District of Columbia,9488.0,823.0,3.2,0.3,2010
"    Production, transportation, and material moving occupations",District of Columbia,13861.0,1144.0,4.7,0.4,2010
Civilian employed population 16 years and over,Florida,8317203.0,15196.0,100.0,,2010
"    Management, business, science, and arts occupations",Florida,2728528.0,17011.0,32.8,0.2,2010
    Service occupations,Florida,1582940.0,10880.0,19.0,0.1,2010
    Sales and office occupations,Florida,2354585.0,12407.0,28.3,0.1,2010
"    Natural resources, construction, and maintenance occupations",Florida,887355.0,8526.0,10.7,0.1,2010
"    Production, transportation, and material moving occupations",Florida,763795.0,6890.0,9.2,0.1,2010
Civilian employed population 16 years and over,Georgia,4296760.0,9294.0,100.0,,2010
"    Management, business, science, and arts occupations",Georgia,1489548.0,11264.0,34.7,0.2,2010
    Service occupations,Georgia,675547.0,6136.0,15.7,0.1,2010
    Sales and office occupations,Georgia,1109575.0,7418.0,25.8,0.2,2010
"    Natural resources, construction, and maintenance occupations",Georgia,449729.0,5366.0,10.5,0.1,2010
"    Production, transportation, and material moving occupations",Georgia,572361.0,6013.0,13.3,0.1,2010
Civilian employed population 16 years and over,Hawaii,636454.0,3786.0,100.0,,2010
"    Management, business, science, and arts occupations",Hawaii,211061.0,3321.0,33.2,0.5,2010
    Service occupations,Hawaii,138660.0,2821.0,21.8,0.4,2010
    Sales and office occupations,Hawaii,166912.0,2789.0,26.2,0.4,2010
"    Natural resources, construction, and maintenance occupations",Hawaii,67326.0,1814.0,10.6,0.3,2010
"    Production, transportation, and material moving occupations",Hawaii,52495.0,1506.0,8.2,0.2,2010
Civilian employed population 16 years and over,Idaho,698898.0,2560.0,100.0,,2010
"    Management, business, science, and arts occupations",Idaho,229345.0,3177.0,32.8,0.4,2010
    Service occupations,Idaho,116279.0,2110.0,16.6,0.3,2010
    Sales and office occupations,Idaho,172744.0,2864.0,24.7,0.4,2010
"    Natural resources, construction, and maintenance occupations",Idaho,94239.0,2170.0,13.5,0.3,2010
"    Production, transportation, and material moving occupations",Idaho,86291.0,2104.0,12.3,0.3,2010
Civilian employed population 16 years and over,Illinois,6062848.0,11006.0,100.0,,2010
"    Management, business, science, and arts occupations",Illinois,2159236.0,11931.0,35.6,0.2,2010
    Service occupations,Illinois,989889.0,7732.0,16.3,0.1,2010
    Sales and office occupations,Illinois,1566966.0,8451.0,25.8,0.1,2010
"    Natural resources, construction, and maintenance occupations",Illinois,490469.0,4343.0,8.1,0.1,2010
"    Production, transportation, and material moving occupations",Illinois,856288.0,6415.0,14.1,0.1,2010
Civilian employed population 16 years and over,Indiana,2999570.0,7274.0,100.0,,2010
"    Management, business, science, and arts occupations",Indiana,940029.0,7029.0,31.3,0.2,2010
    Service occupations,Indiana,491144.0,5414.0,16.4,0.2,2010
    Sales and office occupations,Indiana,733842.0,5106.0,24.5,0.2,2010
"    Natural resources, construction, and maintenance occupations",Indiana,286699.0,3616.0,9.6,0.1,2010
"    Production, transportation, and material moving occupations",Indiana,547856.0,4600.0,18.3,0.1,2010
Civilian employed population 16 years and over,Iowa,1553594.0,3661.0,100.0,,2010
"    Management, business, science, and arts occupations",Iowa,514839.0,4883.0,33.1,0.3,2010
    Service occupations,Iowa,252779.0,3406.0,16.3,0.2,2010
    Sales and office occupations,Iowa,379912.0,3760.0,24.5,0.2,2010
"    Natural resources, construction, and maintenance occupations",Iowa,149745.0,2335.0,9.6,0.2,2010
"    Production, transportation, and material moving occupations",Iowa,256319.0,3209.0,16.5,0.2,2010
Civilian employed population 16 years and over,Kansas,1390619.0,4168.0,100.0,,2010
"    Management, business, science, and arts occupations",Kansas,493150.0,4000.0,35.5,0.3,2010
    Service occupations,Kansas,225659.0,3029.0,16.2,0.2,2010
    Sales and office occupations,Kansas,341579.0,3236.0,24.6,0.2,2010
"    Natural resources, construction, and maintenance occupations",Kansas,141660.0,2428.0,10.2,0.2,2010
"    Production, transportation, and material moving occupations",Kansas,188571.0,2493.0,13.6,0.2,2010
Civilian employed population 16 years and over,Kentucky,1871531.0,5208.0,100.0,,2010
"    Management, business, science, and arts occupations",Kentucky,588176.0,5412.0,31.4,0.3,2010
    Service occupations,Kentucky,301897.0,3613.0,16.1,0.2,2010
    Sales and office occupations,Kentucky,466832.0,4150.0,24.9,0.2,2010
"    Natural resources, construction, and maintenance occupations",Kentucky,201659.0,3080.0,10.8,0.2,2010
"    Production, transportation, and material moving occupations",Kentucky,312967.0,3494.0,16.7,0.2,2010
Civilian employed population 16 years and over,Louisiana,1952818.0,5980.0,100.0,,2010
"    Management, business, science, and arts occupations",Louisiana,600334.0,6347.0,30.7,0.3,2010
    Service occupations,Louisiana,351169.0,3969.0,18.0,0.2,2010
    Sales and office occupations,Louisiana,496315.0,4729.0,25.4,0.2,2010
"    Natural resources, construction, and maintenance occupations",Louisiana,253826.0,3660.0,13.0,0.2,2010
"    Production, transportation, and material moving occupations",Louisiana,251174.0,3858.0,12.9,0.2,2010
Civilian employed population 16 years and over,Maine,657556.0,2831.0,100.0,,2010
"    Management, business, science, and arts occupations",Maine,224966.0,2817.0,34.2,0.4,2010
    Service occupations,Maine,115271.0,1762.0,17.5,0.3,2010
    Sales and office occupations,Maine,160970.0,2063.0,24.5,0.3,2010
"    Natural resources, construction, and maintenance occupations",Maine,76425.0,1376.0,11.6,0.2,2010
"    Production, transportation, and material moving occupations",Maine,79924.0,1695.0,12.2,0.2,2010
Civilian employed population 16 years and over,Maryland,2903595.0,6156.0,100.0,,2010
"    Management, business, science, and arts occupations",Maryland,1257549.0,7447.0,43.3,0.2,2010
    Service occupations,Maryland,462199.0,5903.0,15.9,0.2,2010
    Sales and office occupations,Maryland,700815.0,5417.0,24.1,0.2,2010
"    Natural resources, construction, and maintenance occupations",Maryland,252428.0,3721.0,8.7,0.1,2010
"    Production, transportation, and material moving occupations",Maryland,230604.0,3631.0,7.9,0.1,2010
Civilian employed population 16 years and over,Massachusetts,3271535.0,7325.0,100.0,,2010
"    Management, business, science, and arts occupations",Massachusetts,1400638.0,9307.0,42.8,0.2,2010
    Service occupations,Massachusetts,541505.0,5554.0,16.6,0.2,2010
    Sales and office occupations,Massachusetts,790915.0,5267.0,24.2,0.2,2010
"    Natural resources, construction, and maintenance occupations",Massachusetts,241318.0,3603.0,7.4,0.1,2010
"    Production, transportation, and material moving occupations",Massachusetts,297159.0,4106.0,9.1,0.1,2010
Civilian employed population 16 years and over,Michigan,4369785.0,10590.0,100.0,,2010
"    Management, business, science, and arts occupations",Michigan,1466434.0,10834.0,33.6,0.2,2010
    Service occupations,Michigan,784602.0,5754.0,18.0,0.1,2010
    Sales and office occupations,Michigan,1097121.0,6063.0,25.1,0.1,2010
"    Natural resources, construction, and maintenance occupations",Michigan,362561.0,4320.0,8.3,0.1,2010
"    Production, transportation, and material moving occupations",Michigan,659067.0,5532.0,15.1,0.1,2010
Civilian employed population 16 years and over,Minnesota,2730721.0,5905.0,100.0,,2010
"    Management, business, science, and arts occupations",Minnesota,1032299.0,6251.0,37.8,0.2,2010
    Service occupations,Minnesota,432687.0,3862.0,15.8,0.1,2010
    Sales and office occupations,Minnesota,676165.0,4342.0,24.8,0.2,2010
"    Natural resources, construction, and maintenance occupations",Minnesota,232546.0,2751.0,8.5,0.1,2010
"    Production, transportation, and material moving occupations",Minnesota,357024.0,3449.0,13.1,0.1,2010
Civilian employed population 16 years and over,Mississippi,1216050.0,4564.0,100.0,,2010
"    Management, business, science, and arts occupations",Mississippi,361465.0,4100.0,29.7,0.3,2010
    Service occupations,Mississippi,210415.0,3944.0,17.3,0.3,2010
    Sales and office occupations,Mississippi,296064.0,4014.0,24.3,0.3,2010
"    Natural resources, construction, and maintenance occupations",Mississippi,146996.0,3098.0,12.1,0.3,2010
"    Production, transportation, and material moving occupations",Mississippi,201110.0,3271.0,16.5,0.3,2010
Civilian employed population 16 years and over,Missouri,2796027.0,6634.0,100.0,,2010
"    Management, business, science, and arts occupations",Missouri,936775.0,5986.0,33.5,0.2,2010
    Service occupations,Missouri,474004.0,3982.0,17.0,0.1,2010
    Sales and office occupations,Missouri,724803.0,4930.0,25.9,0.2,2010
"    Natural resources, construction, and maintenance occupations",Missouri,274590.0,3604.0,9.8,0.1,2010
"    Production, transportation, and material moving occupations",Missouri,385855.0,3926.0,13.8,0.1,2010
Civilian employed population 16 years and over,Montana,476195.0,2665.0,100.0,,2010
"    Management, business, science, and arts occupations",Montana,162468.0,2225.0,34.1,0.4,2010
    Service occupations,Montana,87500.0,2137.0,18.4,0.4,2010
    Sales and office occupations,Montana,115213.0,2235.0,24.2,0.4,2010
"    Natural resources, construction, and maintenance occupations",Montana,63395.0,1390.0,13.3,0.3,2010
"    Production, transportation, and material moving occupations",Montana,47619.0,1240.0,10.0,0.2,2010
Civilian employed population 16 years and over,Nebraska,937574.0,3147.0,100.0,,2010
"    Management, business, science, and arts occupations",Nebraska,326431.0,3396.0,34.8,0.3,2010
    Service occupations,Nebraska,152265.0,2503.0,16.2,0.3,2010
    Sales and office occupations,Nebraska,234830.0,3219.0,25.0,0.3,2010
"    Natural resources, construction, and maintenance occupations",Nebraska,94974.0,1727.0,10.1,0.2,2010
"    Production, transportation, and material moving occupations",Nebraska,129074.0,2085.0,13.8,0.2,2010
Civilian employed population 16 years and over,Nevada,1254163.0,5518.0,100.0,,2010
"    Management, business, science, and arts occupations",Nevada,343316.0,4545.0,27.4,0.3,2010
    Service occupations,Nevada,324844.0,4879.0,25.9,0.4,2010
    Sales and office occupations,Nevada,327123.0,4930.0,26.1,0.4,2010
"    Natural resources, construction, and maintenance occupations",Nevada,136811.0,2963.0,10.9,0.2,2010
"    Production, transportation, and material moving occupations",Nevada,122069.0,2334.0,9.7,0.2,2010
Civilian employed population 16 years and over,New Hampshire,695283.0,3057.0,100.0,,2010
"    Management, business, science, and arts occupations",New Hampshire,266754.0,3059.0,38.4,0.4,2010
    Service occupations,New Hampshire,105779.0,2132.0,15.2,0.3,2010
    Sales and office occupations,New Hampshire,177675.0,2761.0,25.6,0.4,2010
"    Natural resources, construction, and maintenance occupations",New Hampshire,65612.0,1400.0,9.4,0.2,2010
"    Production, transportation, and material moving occupations",New Hampshire,79463.0,2214.0,11.4,0.3,2010
Civilian employed population 16 years and over,New Jersey,4230560.0,9166.0,100.0,,2010
"    Management, business, science, and arts occupations",New Jersey,1667330.0,10083.0,39.4,0.2,2010
    Service occupations,New Jersey,668098.0,6004.0,15.8,0.1,2010
    Sales and office occupations,New Jersey,1122931.0,6223.0,26.5,0.1,2010
"    Natural resources, construction, and maintenance occupations",New Jersey,331641.0,4256.0,7.8,0.1,2010
"    Production, transportation, and material moving occupations",New Jersey,440560.0,5205.0,10.4,0.1,2010
Civilian employed population 16 years and over,New Mexico,888761.0,4268.0,100.0,,2010
"    Management, business, science, and arts occupations",New Mexico,305845.0,3877.0,34.4,0.4,2010
    Service occupations,New Mexico,169033.0,3019.0,19.0,0.3,2010
    Sales and office occupations,New Mexico,215717.0,3373.0,24.3,0.3,2010
"    Natural resources, construction, and maintenance occupations",New Mexico,112591.0,2603.0,12.7,0.3,2010
"    Production, transportation, and material moving occupations",New Mexico,85575.0,2078.0,9.6,0.2,2010
Civilian employed population 16 years and over,New York,9045999.0,11816.0,100.0,,2010
"    Management, business, science, and arts occupations",New York,3432468.0,14714.0,37.9,0.2,2010
    Service occupations,New York,1731594.0,9871.0,19.1,0.1,2010
    Sales and office occupations,New York,2281008.0,11052.0,25.2,0.1,2010
"    Natural resources, construction, and maintenance occupations",New York,703623.0,5776.0,7.8,0.1,2010
"    Production, transportation, and material moving occupations",New York,897306.0,6826.0,9.9,0.1,2010
Civilian employed population 16 years and over,North Carolina,4234087.0,8605.0,100.0,,2010
"    Management, business, science, and arts occupations",North Carolina,1456401.0,9077.0,34.4,0.2,2010
    Service occupations,North Carolina,691068.0,5762.0,16.3,0.1,2010
    Sales and office occupations,North Carolina,1029952.0,7104.0,24.3,0.2,2010
"    Natural resources, construction, and maintenance occupations",North Carolina,464158.0,5258.0,11.0,0.1,2010
"    Production, transportation, and material moving occupations",North Carolina,592508.0,5269.0,14.0,0.1,2010
Civilian employed population 16 years and over,North Dakota,352012.0,1800.0,100.0,,2010
"    Management, business, science, and arts occupations",North Dakota,120504.0,1903.0,34.2,0.5,2010
    Service occupations,North Dakota,61836.0,1451.0,17.6,0.4,2010
    Sales and office occupations,North Dakota,84861.0,1627.0,24.1,0.4,2010
"    Natural resources, construction, and maintenance occupations",North Dakota,41902.0,1316.0,11.9,0.4,2010
"    Production, transportation, and material moving occupations",North Dakota,42909.0,1203.0,12.2,0.3,2010
Civilian employed population 16 years and over,Ohio,5369857.0,11476.0,100.0,,2010
"    Management, business, science, and arts occupations",Ohio,1794193.0,12248.0,33.4,0.2,2010
    Service occupations,Ohio,916733.0,5958.0,17.1,0.1,2010
    Sales and office occupations,Ohio,1357545.0,7703.0,25.3,0.1,2010
"    Natural resources, construction, and maintenance occupations",Ohio,442786.0,4393.0,8.2,0.1,2010
"    Production, transportation, and material moving occupations",Ohio,858600.0,6292.0,16.0,0.1,2010
Civilian employed population 16 years and over,Oklahoma,1674765.0,5087.0,100.0,,2010
"    Management, business, science, and arts occupations",Oklahoma,534927.0,5190.0,31.9,0.3,2010
    Service occupations,Oklahoma,285400.0,3592.0,17.0,0.2,2010
    Sales and office occupations,Oklahoma,426479.0,3953.0,25.5,0.2,2010
"    Natural resources, construction, and maintenance occupations",Oklahoma,202869.0,3395.0,12.1,0.2,2010
"    Production, transportation, and material moving occupations",Oklahoma,225090.0,3167.0,13.4,0.2,2010
Civilian employed population 16 years and over,Oregon,1763324.0,5841.0,100.0,,2010
"    Management, business, science, and arts occupations",Oregon,618620.0,5373.0,35.1,0.3,2010
    Service occupations,Oregon,304506.0,4007.0,17.3,0.2,2010
    Sales and office occupations,Oregon,441701.0,4984.0,25.0,0.3,2010
"    Natural resources, construction, and maintenance occupations",Oregon,183368.0,3495.0,10.4,0.2,2010
"    Production, transportation, and material moving occupations",Oregon,215129.0,3065.0,12.2,0.2,2010
Civilian employed population 16 years and over,Pennsylvania,5940972.0,10456.0,100.0,,2010
"    Management, business, science, and arts occupations",Pennsylvania,2092428.0,10845.0,35.2,0.2,2010
    Service occupations,Pennsylvania,985928.0,7578.0,16.6,0.1,2010
    Sales and office occupations,Pennsylvania,1507431.0,6867.0,25.4,0.1,2010
"    Natural resources, construction, and maintenance occupations",Pennsylvania,528285.0,4165.0,8.9,0.1,2010
"    Production, transportation, and material moving occupations",Pennsylvania,826900.0,5042.0,13.9,0.1,2010
Civilian employed population 16 years and over,Puerto Rico,1149431.0,5667.0,100.0,,2010
"    Management, business, science, and arts occupations",Puerto Rico,339552.0,3533.0,29.5,0.3,2010
    Service occupations,Puerto Rico,225695.0,3022.0,19.6,0.2,2010
    Sales and office occupations,Puerto Rico,319469.0,3710.0,27.8,0.3,2010
"    Natural resources, construction, and maintenance occupations",Puerto Rico,126706.0,2334.0,11.0,0.2,2010
"    Production, transportation, and material moving occupations",Puerto Rico,138009.0,2339.0,12.0,0.2,2010
Civilian employed population 16 years and over,Rhode Island,515924.0,2921.0,100.0,,2010
"    Management, business, science, and arts occupations",Rhode Island,186917.0,2726.0,36.2,0.5,2010
    Service occupations,Rhode Island,96384.0,2122.0,18.7,0.4,2010
    Sales and office occupations,Rhode Island,130026.0,2144.0,25.2,0.4,2010
"    Natural resources, construction, and maintenance occupations",Rhode Island,39701.0,1165.0,7.7,0.2,2010
"    Production, transportation, and material moving occupations",Rhode Island,62896.0,1653.0,12.2,0.3,2010
Civilian employed population 16 years and over,South Carolina,2002289.0,6513.0,100.0,,2010
"    Management, business, science, and arts occupations",South Carolina,636616.0,5667.0,31.8,0.3,2010
    Service occupations,South Carolina,344070.0,4691.0,17.2,0.2,2010
    Sales and office occupations,South Carolina,506896.0,4858.0,25.3,0.2,2010
"    Natural resources, construction, and maintenance occupations",South Carolina,216593.0,3440.0,10.8,0.2,2010
"    Production, transportation, and material moving occupations",South Carolina,298114.0,4128.0,14.9,0.2,2010
Civilian employed population 16 years and over,South Dakota,410156.0,2066.0,100.0,,2010
"    Management, business, science, and arts occupations",South Dakota,141218.0,1986.0,34.4,0.4,2010
    Service occupations,South Dakota,67938.0,1592.0,16.6,0.4,2010
    Sales and office occupations,South Dakota,102047.0,1592.0,24.9,0.4,2010
"    Natural resources, construction, and maintenance occupations",South Dakota,45397.0,1430.0,11.1,0.3,2010
"    Production, transportation, and material moving occupations",South Dakota,53556.0,1490.0,13.1,0.4,2010
Civilian employed population 16 years and over,Tennessee,2816637.0,8548.0,100.0,,2010
"    Management, business, science, and arts occupations",Tennessee,903219.0,8283.0,32.1,0.3,2010
    Service occupations,Tennessee,461228.0,5269.0,16.4,0.2,2010
    Sales and office occupations,Tennessee,729116.0,5238.0,25.9,0.2,2010
"    Natural resources, construction, and maintenance occupations",Tennessee,281967.0,4590.0,10.0,0.2,2010
"    Production, transportation, and material moving occupations",Tennessee,441107.0,5558.0,15.7,0.2,2010
Civilian employed population 16 years and over,Texas,11125616.0,13351.0,100.0,,2010
"    Management, business, science, and arts occupations",Texas,3751544.0,18837.0,33.7,0.2,2010
    Service occupations,Texas,1877988.0,11280.0,16.9,0.1,2010
    Sales and office occupations,Texas,2854195.0,12845.0,25.7,0.1,2010
"    Natural resources, construction, and maintenance occupations",Texas,1291496.0,9482.0,11.6,0.1,2010
"    Production, transportation, and material moving occupations",Texas,1350393.0,8662.0,12.1,0.1,2010
Civilian employed population 16 years and over,Utah,1236803.0,3780.0,100.0,,2010
"    Management, business, science, and arts occupations",Utah,429502.0,4171.0,34.7,0.3,2010
    Service occupations,Utah,185254.0,3179.0,15.0,0.2,2010
    Sales and office occupations,Utah,341109.0,3359.0,27.6,0.3,2010
"    Natural resources, construction, and maintenance occupations",Utah,129475.0,2325.0,10.5,0.2,2010
"    Production, transportation, and material moving occupations",Utah,151463.0,2714.0,12.2,0.2,2010
Civilian employed population 16 years and over,Vermont,329676.0,1864.0,100.0,,2010
"    Management, business, science, and arts occupations",Vermont,128702.0,1845.0,39.0,0.5,2010
    Service occupations,Vermont,55907.0,1351.0,17.0,0.4,2010
    Sales and office occupations,Vermont,75130.0,1704.0,22.8,0.5,2010
"    Natural resources, construction, and maintenance occupations",Vermont,35325.0,1040.0,10.7,0.3,2010
"    Production, transportation, and material moving occupations",Vermont,34612.0,973.0,10.5,0.3,2010
Civilian employed population 16 years and over,Virginia,3824131.0,8136.0,100.0,,2010
"    Management, business, science, and arts occupations",Virginia,1570592.0,10085.0,41.1,0.2,2010
    Service occupations,Virginia,594319.0,5932.0,15.5,0.2,2010
    Sales and office occupations,Virginia,906757.0,5915.0,23.7,0.1,2010
"    Natural resources, construction, and maintenance occupations",Virginia,366748.0,5040.0,9.6,0.1,2010
"    Production, transportation, and material moving occupations",Virginia,385715.0,3901.0,10.1,0.1,2010
Civilian employed population 16 years and over,Washington,3124821.0,8306.0,100.0,,2010
"    Management, business, science, and arts occupations",Washington,1183415.0,7957.0,37.9,0.2,2010
    Service occupations,Washington,517817.0,6014.0,16.6,0.2,2010
    Sales and office occupations,Washington,751182.0,6100.0,24.0,0.2,2010
"    Natural resources, construction, and maintenance occupations",Washington,321440.0,4065.0,10.3,0.1,2010
"    Production, transportation, and material moving occupations",Washington,350967.0,4088.0,11.2,0.1,2010
Civilian employed population 16 years and over,West Virginia,763691.0,3805.0,100.0,,2010
"    Management, business, science, and arts occupations",West Virginia,229188.0,3128.0,30.0,0.4,2010
    Service occupations,West Virginia,139861.0,2330.0,18.3,0.3,2010
    Sales and office occupations,West Virginia,188558.0,2582.0,24.7,0.3,2010
"    Natural resources, construction, and maintenance occupations",West Virginia,99923.0,2024.0,13.1,0.3,2010
"    Production, transportation, and material moving occupations",West Virginia,106161.0,2206.0,13.9,0.3,2010
Civilian employed population 16 years and over,Wisconsin,2869310.0,6891.0,100.0,,2010
"    Management, business, science, and arts occupations",Wisconsin,947672.0,6669.0,33.0,0.2,2010
    Service occupations,Wisconsin,462097.0,3837.0,16.1,0.1,2010
    Sales and office occupations,Wisconsin,702658.0,4120.0,24.5,0.1,2010
"    Natural resources, construction, and maintenance occupations",Wisconsin,262749.0,2944.0,9.2,0.1,2010
"    Production, transportation, and material moving occupations",Wisconsin,494134.0,4145.0,17.2,0.1,2010
Civilian employed population 16 years and over,Wyoming,284148.0,1824.0,100.0,,2010
"    Management, business, science, and arts occupations",Wyoming,87968.0,1767.0,31.0,0.6,2010
    Service occupations,Wyoming,47965.0,1557.0,16.9,0.5,2010
    Sales and office occupations,Wyoming,64304.0,1484.0,22.6,0.5,2010
"    Natural resources, construction, and maintenance occupations",Wyoming,46942.0,1358.0,16.5,0.5,2010
"    Production, transportation, and material moving occupations",Wyoming,36969.0,1163.0,13.0,0.4,2010
Civilian employed population 16 years and over,Alabama,2027919.0,7620.0,100.0,,2011
"    Management, business, science, and arts occupations",Alabama,641698.0,5781.0,31.6,0.3,2011
    Service occupations,Alabama,327789.0,4365.0,16.2,0.2,2011
    Sales and office occupations,Alabama,512500.0,4232.0,25.3,0.2,2011
"    Natural resources, construction, and maintenance occupations",Alabama,225437.0,3552.0,11.1,0.2,2011
"    Production, transportation, and material moving occupations",Alabama,320495.0,4222.0,15.8,0.2,2011
Civilian employed population 16 years and over,Alaska,336026.0,2127.0,100.0,,2011
"    Management, business, science, and arts occupations",Alaska,118455.0,1960.0,35.3,0.6,2011
    Service occupations,Alaska,56756.0,1548.0,16.9,0.4,2011
    Sales and office occupations,Alaska,80391.0,1702.0,23.9,0.5,2011
"    Natural resources, construction, and maintenance occupations",Alaska,43571.0,1497.0,13.0,0.4,2011
"    Production, transportation, and material moving occupations",Alaska,36853.0,1276.0,11.0,0.4,2011
Civilian employed population 16 years and over,Arizona,2739077.0,8466.0,100.0,,2011
"    Management, business, science, and arts occupations",Arizona,949454.0,7862.0,34.7,0.2,2011
    Service occupations,Arizona,518070.0,5307.0,18.9,0.2,2011
    Sales and office occupations,Arizona,733607.0,6430.0,26.8,0.2,2011
"    Natural resources, construction, and maintenance occupations",Arizona,279924.0,4225.0,10.2,0.1,2011
"    Production, transportation, and material moving occupations",Arizona,258022.0,3658.0,9.4,0.1,2011
Civilian employed population 16 years and over,Arkansas,1252276.0,5739.0,100.0,,2011
"    Management, business, science, and arts occupations",Arkansas,383294.0,4558.0,30.6,0.3,2011
    Service occupations,Arkansas,210975.0,3518.0,16.8,0.3,2011
    Sales and office occupations,Arkansas,306713.0,4666.0,24.5,0.3,2011
"    Natural resources, construction, and maintenance occupations",Arkansas,140001.0,2614.0,11.2,0.2,2011
"    Production, transportation, and material moving occupations",Arkansas,211293.0,3646.0,16.9,0.3,2011
Civilian employed population 16 years and over,California,16603417.0,15328.0,100.0,,2011
"    Management, business, science, and arts occupations",California,6066379.0,26674.0,36.5,0.1,2011
    Service occupations,California,2970721.0,17642.0,17.9,0.1,2011
    Sales and office occupations,California,4151286.0,13689.0,25.0,0.1,2011
"    Natural resources, construction, and maintenance occupations",California,1599971.0,10939.0,9.6,0.1,2011
"    Production, transportation, and material moving occupations",California,1815060.0,10956.0,10.9,0.1,2011
Civilian employed population 16 years and over,Colorado,2476167.0,6831.0,100.0,,2011
"    Management, business, science, and arts occupations",Colorado,973584.0,7137.0,39.3,0.2,2011
    Service occupations,Colorado,411379.0,4874.0,16.6,0.2,2011
    Sales and office occupations,Colorado,613272.0,5307.0,24.8,0.2,2011
"    Natural resources, construction, and maintenance occupations",Colorado,252349.0,3975.0,10.2,0.2,2011
"    Production, transportation, and material moving occupations",Colorado,225583.0,3357.0,9.1,0.1,2011
